"race_all","n_race_cats","ethnicity","race5c","n"
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: NHPI,What Race Ethnicity: White",6,"Hispanic/Latino","Hispanic",6
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",6,"Hispanic/Latino","Hispanic",6
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Hispanic,What Race Ethnicity: NHPI",4,"Hispanic/Latino","Hispanic",6
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",4,"Not","Black",6
"What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA",4,"Hispanic/Latino","Hispanic",6
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",6,"Hispanic/Latino","Hispanic",4
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: NHPI",5,"Hispanic/Latino","Hispanic",4
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: MENA",3,"Not","Other/Asian",4
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",5,"Not","Black",4
"What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",6,"Hispanic/Latino","Hispanic",4
"What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: NHPI,What Race Ethnicity: White",5,"Hispanic/Latino","Hispanic",4
"What Race Ethnicity: Asian,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA",3,"Hispanic/Latino","Hispanic",4
"What Race Ethnicity: Asian,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",4,"Not","Other/Asian",4
"What Race Ethnicity: Black,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",4,"Not","Black",4
