"Estimate","Std. Error","t value","Pr(>|t|)","term"
0.453511158310887,0.69710173722147,0.650566673551131,0.515339344071758,"factor(zip3)166"
0.370586902014659,0.503930770245713,0.735392486221796,0.462115606657933,"factor(zip3)300"
0.416810583055307,0.626052766369449,0.665775483227138,0.505568071836334,"factor(zip3)303"
0.612264839763179,0.878394655275171,0.697027055078537,0.485800058167848,"factor(zip3)320"
0.828740500515219,0.806373647617488,1.02773757917786,0.30409506422823,"factor(zip3)322"
0.92351988205732,1.0784237687761,0.856360837730255,0.391816197136413,"factor(zip3)326"
0.780388089415266,1.05704236323718,0.73827513121171,0.460362454324824,"factor(zip3)331"
1.02252200663629,0.985644932837263,1.03741415652884,0.299564860121896,"factor(zip3)344"
0.741207450133986,1.11665006574759,0.663777733839791,0.506845985555766,"factor(zip3)352"
-0.1453440521252,0.207627730507829,-0.700022351396456,0.483927612954818,"factor(zip3)480"
0.0369173840092293,0.265698019831023,0.138944897040286,0.8894961436051,"factor(zip3)481"
1.16150060304809,1.76822545970747,0.656873588529962,0.511275445640603,"factor(zip3)482"
-0.243853227031108,0.141772566992355,-1.72003111888535,0.0854538918986831,"factor(zip3)483"
-0.132087481846628,0.457119087428025,-0.288956391188599,0.772619997098678,"factor(zip3)493"
0.314935016637584,0.52860579718087,0.595784265547554,0.551331169697337,"factor(zip3)494"
0.178240083396052,0.469677143556089,0.379494905897559,0.704327446351732,"factor(zip3)495"
-0.131333355012536,0.215128800322062,-0.610487088739031,0.541551348668658,"factor(zip3)530"
-0.0288920145877604,0.151767774324204,-0.190369890554247,0.849022675596271,"factor(zip3)531"
0.743860648661509,1.16242060012451,0.639923835298369,0.522234961338482,"factor(zip3)532"
-0.0573971150761292,0.552009065282909,-0.103978573335046,0.917188179243405,"factor(zip3)544"
-0.233074483681687,0.209397367657962,-1.11307265362763,0.265700667785661,"factor(zip3)550"
0.0782786509009118,0.313025858427642,0.250070876872961,0.802537038003092,"factor(zip3)551"
-0.100021663651373,0.272311043027358,-0.367306674527057,0.713397085743384,"factor(zip3)553"
0.127459385515325,0.230178227816483,0.553742144617371,0.579766175168756,"factor(zip3)554"
-0.185980983092753,0.123804572013983,-1.50221417567477,0.133069468829623,"factor(zip3)600"
-0.000480497196168568,0.188333159167691,-0.00255131490541575,0.99796439202209,"factor(zip3)601"
-0.138284612622303,0.132796329318819,-1.04132857686381,0.297745134246823,"factor(zip3)602"
0.340001301892552,0.443826089474448,0.76606875971433,0.443651232078696,"factor(zip3)604"
-0.115046058031999,0.179171474252689,-0.642100303699837,0.520820954146163,"factor(zip3)605"
0.75157094793238,0.823310161368142,0.912864899764448,0.361332880789982,"factor(zip3)606"
1.11214311237616,1.219423761632,0.912023487952816,0.361775614931088,"factor(zip3)710"
1.00441136089313,1.35490711150168,0.741313815808311,0.458518438054804,"factor(zip3)711"
-0.234310121895543,1.19003126783704,-0.196894088607788,0.843913925402094,"factor(zip3)782"
0.0995639839852617,0.23530346454876,0.423130123375765,0.672208297257025,"factor(zip3)800"
-0.271429924364102,0.460433910384998,-0.589508978904577,0.555531558743186,"factor(zip3)801"
0.299878518750767,0.31033633511345,0.966301669577749,0.333913724021247,"factor(zip3)802"
0.827166703987072,0.906325321531958,0.912659819091135,0.361440758828858,"factor(zip3)850"
0.00344875984909835,0.189896313945811,0.0181612785284631,0.985510510231326,"factor(zip3)852"
0.809565543174337,0.846686077170421,0.95615785472682,0.339012739415305,"factor(zip3)853"
0.758657669405172,1.22240908208963,0.620625026859496,0.53485876072154,"factor(zip3)900"
0.342989274437332,0.396780936005681,0.864429823393584,0.387369981413845,"factor(zip3)902"
0.436539340443783,0.46285537685263,0.943144148853161,0.345627138479893,"factor(zip3)906"
0.567456674042537,0.625006788611794,0.907920816832914,0.36393922675167,"factor(zip3)908"
0.114763424021054,0.230302534134448,0.498315941039784,0.618270975433647,"factor(zip3)913"
0.372585165739807,0.535129785383786,0.696251967123443,0.486285225497176,"factor(zip3)917"
0.105701483073025,0.481287941123248,0.219622130623791,0.826169381772927,"factor(zip3)919"
-0.0971789952336935,0.169552937756078,-0.573148401436116,0.566555508580196,"factor(zip3)920"
-0.0779361054396793,0.219046128285902,-0.355797685398739,0.721998657927103,"factor(zip3)921"
0.469283247958377,0.632588666172518,0.741845804474775,0.458196028982174,"factor(zip3)925"
-0.261161922196369,0.277609671474089,-0.940752246885407,0.346851746417431,"factor(zip3)926"
0.479123742088562,0.709327818145385,0.675461655150201,0.499396188798473,"factor(zip3)927"
0.21681651491632,0.278287341193114,0.779110231844368,0.435930935932885,"factor(zip3)928"
-0.107325887690504,0.165488440318301,-0.6485400882628,0.516648738180334,"factor(zip3)941"
-0.21581028734941,0.29279892179571,-0.737059706456105,0.461101191081967,"factor(zip3)945"
-0.22211872290949,0.305783535297261,-0.726392029883369,0.467613371163254,"factor(zip3)949"
-0.222172377204546,0.306883050176658,-0.723964314994431,0.4691024808237,"factor(zip3)956"
0.0766616803870605,0.655854329766991,0.116888273672443,0.906950647234424,"factor(zip3)958"
-0.403346098148218,0.375235641777304,-1.07491414258456,0.282435891276746,"factor(zip3)980"
